idx,feature,label,lobe,gyrus,sub_region,hemisphere,coordinates
1,A8m_L,SFG_L_7_1,Frontal lobe,Superior frontal gyrus, medial area 8,left,"(−5 ,15, 54)"
2,A8m_R,SFG_R_7_1,Frontal lobe,Superior frontal gyrus, medial area 8,right,"(7, 16, 54)"
3,A8dl_L,SFG_L_7_2,Frontal lobe,Superior frontal gyrus, dorsolateral area 8,left,"(−18, 24, 53)"
4,A8dl_R,SFG_R_7_2,Frontal lobe,Superior frontal gyrus, dorsolateral area 8,right,"(22, 26, 51)"
5,A9l_L,SFG_L_7_3,Frontal lobe,Superior frontal gyrus, lateral area 9,left,"(−11, 49, 40)"
6,A9l_R,SFG_R_7_3,Frontal lobe,Superior frontal gyrus, lateral area 9,right,"(13, 48, 40)"
7,A6dl_L,SFG_L_7_4,Frontal lobe,Superior frontal gyrus, dorsolateral area 6,left,"(−18, −1, 65)"
8,A6dl_R,SFG_R_7_4,Frontal lobe,Superior frontal gyrus, dorsolateral area 6,right,"(20, 4, 64)"
9,A6m_L,SFG_L_7_5,Frontal lobe,Superior frontal gyrus, medial area 6,left,"(−6, −5, 58)"
10,A6m_R,SFG_R_7_5,Frontal lobe,Superior frontal gyrus, medial area 6,right,"(7, −4, 60)"
11,A9m_L,SFG_L_7_6,Frontal lobe,Superior frontal gyrus, medial area 9,left,"(−5, 36, 38)"
12,A9m_R,SFG_R_7_6,Frontal lobe,Superior frontal gyrus, medial area 9,right,"(6, 38, 35)"
13,A10m_L,SFG_L_7_7,Frontal lobe,Superior frontal gyrus, medial area 10,left,"( −8, 56, 15)"
14,A10m_R,SFG_R_7_7,Frontal lobe,Superior frontal gyrus, medial area 10,right,"(8, 58, 13)"
15,A9/46d_L,MFG_L_7_1,Frontal lobe,Middle frontal gyrus, dorsal area 9/46,left,"(−27, 43, 31)"
16,A9/46d_R,MFG_R_7_1,Frontal lobe,Middle frontal gyrus, dorsal area 9/46,right,"(30, 37, 36)"
17,IFJ_L,MFG_L_7_2,Frontal lobe,Middle frontal gyrus, inferior frontal junction,left,"(−42, 13, 36)"
18,IFJ_R,MFG_R_7_2,Frontal lobe,Middle frontal gyrus, inferior frontal junction,right,"(42, 11, 39)"
19,A46_L,MFG_L_7_3,Frontal lobe,Middle frontal gyrus, area 46,left,"(−28, 56, 12)"
20,A46_R,MFG_R_7_3,Frontal lobe,Middle frontal gyrus, area 46,right,"(28, 55, 17)"
21,A9/46v_L,MFG_L_7_4,Frontal lobe,Middle frontal gyrus, ventral area 9/46,left,"(−41, 41, 16)"
22,A9/46v_R,MFG_R_7_4,Frontal lobe,Middle frontal gyrus, ventral area 9/46,right,"(42, 44, 14)"
23,A8vl_L,MFG_L_7_5,Frontal lobe,Middle frontal gyrus, ventrolateral area 8,left,"(−33, 23, 45)"
24,A8vl_R,MFG_R_7_5,Frontal lobe,Middle frontal gyrus, ventrolateral area 8,right,"(42, 27, 39)"
25,A6vl_L,MFG_L_7_6,Frontal lobe,Middle frontal gyrus, ventrolateral area 6,left,"(−32, 4, 55)"
26,A6vl_R,MFG_R_7_6,Frontal lobe,Middle frontal gyrus, ventrolateral area 6,right,"(34, 8, 54)"
27,A10l_L,MFG_L_7_7,Frontal lobe,Middle frontal gyrus, lateral area 10,left,"(−26, 60, −6)"
28,A10l_R,MFG_R_7_7,Frontal lobe,Middle frontal gyrus, lateral area 10,right,"(25, 61, −4)"
29,A44d_L,IFG_L_6_1,Frontal lobe,Inferior frontal gyrus, dorsal area 44,left,"(−46, 13, 24)"
30,A44d_R,IFG_R_6_1,Frontal lobe,Inferior frontal gyrus, dorsal area 44,right,"(45, 16, 25)"
31,IFS_L,IFG_L_6_2,Frontal lobe,Inferior frontal gyrus, inferior frontal sulcus,left,"(−47, 32, 14)"
32,IFS_R,IFG_R_6_2,Frontal lobe,Inferior frontal gyrus, inferior frontal sulcus,right,"(48, 35, 13)"
33,A45c_L,IFG_L_6_3,Frontal lobe,Inferior frontal gyrus, caudal area 45,left,"(−53, 23, 11)"
34,A45c_R,IFG_R_6_3,Frontal lobe,Inferior frontal gyrus, caudal area 45,right,"(54, 24, 12)"
35,A45r_L,IFG_L_6_4,Frontal lobe,Inferior frontal gyrus, rostral area 45,left,"(−49, 36, −3)"
36,A45r_R,IFG_R_6_4,Frontal lobe,Inferior frontal gyrus, rostral area 45,right,"(51, 36, −1)"
37,A44op_L,IFG_L_6_5,Frontal lobe,Inferior frontal gyrus, opercular area 44,left,"(−39, 23, 4)"
38,A44op_R,IFG_R_6_5,Frontal lobe,Inferior frontal gyrus, opercular area 44,right,"(42, 22, 3)"
39,A44v_L,IFG_L_6_6,Frontal lobe,Inferior frontal gyrus, ventral area 44,left,"(−52, 13, 6)"
40,A44v_R,IFG_R_6_6,Frontal lobe,Inferior frontal gyrus, ventral area 44,right,"(54, 14, 11)"
41,A14m_L,OrG_L_6_1,Frontal lobe,Orbital gyrus, medial area 14,left,"(−7, 54, −7)"
42,A14m_R,OrG_R_6_1,Frontal lobe,Orbital gyrus, medial area 14,right,"(6, 47, −7)"
43,A12/47o_L,OrG_L_6_2,Frontal lobe,Orbital gyrus, orbital area 12/47,left,"(−36, 33, −16)"
44,A12/47o_R,OrG_R_6_2,Frontal lobe,Orbital gyrus, orbital area 12/47,right,"(40, 39, −14)"
45,A11l_L,OrG_L_6_3,Frontal lobe,Orbital gyrus, lateral area 11,left,"(−23, 38, −18)"
46,A11l_R,OrG_R_6_3,Frontal lobe,Orbital gyrus, lateral area 11,right,"(23, 36, −18)"
47,A11m_L,OrG_L_6_4,Frontal lobe,Orbital gyrus, medial area 11,left,"(−6, 52, −19)"
48,A11m_R,OrG_R_6_4,Frontal lobe,Orbital gyrus, medial area 11,right,"(6, 57, −16)"
49,A13_L,OrG_L_6_5,Frontal lobe,Orbital gyrus, area 13,left,"(−10, 18, −19)"
50,A13_R,OrG_R_6_5,Frontal lobe,Orbital gyrus, area 13,right,"(9, 20, −19)"
51,A12/47l_L,OrG_L_6_6,Frontal lobe,Orbital gyrus, lateral area 12/47,left,"−41, 32, −9"
52,A12/47l_R,OrG_R_6_6,Frontal lobe,Orbital gyrus, lateral area 12/47,right,"(42, 31, −9)"
53,A4hf_L,PrG_L_6_1,Frontal lobe,Precentral gyrus, area 4(head and face region),left,"(−49, −8, 39)"
54,A4hf_R,PrG_R_6_1,Frontal lobe,Precentral gyrus, area 4(head and face region),right,"(55, −2, 33)"
55,A6cdl_L,PrG_L_6_2,Frontal lobe,Precentral gyrus, caudal dorsolateral area 6,left,"(−32, −9, 58)"
56,A6cdl_R,PrG_R_6_2,Frontal lobe,Precentral gyrus, caudal dorsolateral area 6,right,"(33, −7, 57)"
57,A4ul_L,PrG_L_6_3,Frontal lobe,Precentral gyrus, area 4(upper limb region),left,"(−26, −25, 63)"
